country_name,country_code,year,total_reserves,reserves_excluding_gold,gdp_per_capita,gdp_per_capita_growth,inflation,trade_share_gdp,manufacturing_share_gdp,fuel_exports_share,private_credit_share_gdp,political_stability,gold_reserves,gold_share,brics_dummy,group,gold_share_lag1,gdp_per_capita_lag1,gdp_per_capita_growth_lag1,inflation_lag1,trade_share_gdp_lag1,manufacturing_share_gdp_lag1,fuel_exports_share_lag1,private_credit_share_gdp_lag1,political_stability_lag1,delta_gold_share
Mexico,MEX,2020,199069188921.04602,191769269928.00702,8841.270750398684,-9.102871546054217,3.396834155700065,76.85455570560157,20.184273574322106,3.8426743717422265,36.9325897608776,-0.791455745697021,7299918993.039001,3.667026038838318,0,Non-BRICS,3.21182453587167,10369.555358527137,-1.3346217688336708,3.635961421270462,77.4619722571128,19.88775426585224,5.321605150605974,35.58518648709328,-0.841869175434113,0.45520150296664763
Mexico,MEX,2021,207799490381.042,200775455680.767,10314.050672211482,5.343066795862612,5.689208476837533,83.06929763578948,20.83583585752254,5.570137804507399,35.05706055050083,-0.687615871429443,7024034700.274994,3.3801982321491835,0,Non-BRICS,3.667026038838318,8841.270750398684,-9.102871546054217,3.396834155700065,76.85455570560157,20.184273574322106,3.8426743717422265,36.9325897608776,-0.791455745697021,-0.2868278066891343
Mexico,MEX,2022,201118689946.08698,194124913250.538,11405.79404737593,2.9316350545895773,7.896276191685497,88.79848558671856,21.486470208706624,6.497778831600604,34.24876961106703,-0.689268112182617,6993776695.548981,3.4774374760614104,0,Non-BRICS,3.3801982321491835,10314.050672211482,5.343066795862612,5.689208476837533,83.06929763578948,20.83583585752254,5.570137804507399,35.05706055050083,-0.687615871429443,0.09723924391222694
Malaysia,MYS,1997,21470190357.520603,20788220334.0206,4678.563900581818,4.686113828571536,2.662514597119463,185.6651111623698,28.380205468514347,8.123583258979087,158.3850475806881,NA,681970023.5000038,3.1763576016042285,0,Non-BRICS,3.1640269109268684,4837.168972507679,7.261940756786302,3.48855945858916,181.7669824854571,27.842763230495166,8.062548973992566,141.6337391420869,0.57122015953064,0.012330690677360145
Malaysia,MYS,1999,30930646965.9178,30588151965.9178,3527.8158137924875,3.6358891983016406,2.744561302406039,217.57091939194854,30.93621577050445,6.795830893815149,149.15298107486268,NA,342495000,1.1072998258891646,0,Non-BRICS,2.5778994899027525,3294.3097844409517,-9.607037075793329,5.270342003487656,209.49220280818946,28.782706015682646,6.163305400503637,158.5053787701726,-0.0381234660744667,-1.4705996640135879
Malaysia,MYS,2001,29845803173.9213,29522298173.9213,3943.7994391023894,-1.8694772907529682,1.416784732060981,203.3646360106529,29.336404039945656,9.719842425616031,129.10137557823919,NA,323505000,1.083921240500147,0,Non-BRICS,1.1207539386644036,4083.528744836047,6.336036105743787,1.534740236976995,220.40678898207355,30.86354976557305,9.618378864888102,134.99985392577463,0.0926911979913712,-0.036832698164256605
Malaysia,MYS,2003,44309888490.9861,43821705990.9861,4465.3219456720835,3.314667347659011,1.089676325772861,194.19512905683087,29.928671893096194,10.075077898248686,118.97414888010334,0.485534876585007,488182500,1.1017461713976335,0,Non-BRICS,1.187788817850678,4184.031637735386,2.872625550498256,1.807872462815361,199.3562326956549,29.246398217179483,8.390657285512892,121.82734493440461,0.539594113826752,-0.08604264645304438
Malaysia,MYS,2004,66393546884.2326,65881086884.232605,4939.248518544275,4.343213107865736,1.421271159374023,210.37426589712433,30.378147360604835,11.598990305601127,111.93760514821072,0.34800398349762,512459999.9999924,0.7718521212514005,0,Non-BRICS,1.1017461713976335,4465.3219456720835,3.314667347659011,1.089676325772861,194.19512905683087,29.928671893096194,10.075077898248686,118.97414888010334,0.485534876585007,-0.3298940501462331
Malaysia,MYS,2005,70458190074.6077,69857980074.6077,5555.581799512061,2.970371271704849,2.975070926844491,203.8546445956238,27.54968008271122,13.40600441816374,106.52443190737853,0.566449165344238,600210000,0.8518669005894726,0,Non-BRICS,0.7718521212514005,4939.248518544275,4.343213107865736,1.421271159374023,210.37426589712433,30.378147360604835,11.598990305601127,111.93760514821072,0.34800398349762,0.0800147793380721
Malaysia,MYS,2006,82876090883.1742,82132321883.1742,6158.4078553323625,3.2594065393694933,3.60923564224389,202.57714684039786,27.56608756266924,13.731610750224855,103.66383037431635,0.288379698991776,743769000,0.8974470104392951,0,Non-BRICS,0.8518669005894726,5555.581799512061,2.970371271704849,2.975070926844491,203.8546445956238,27.54968008271122,13.40600441816374,106.52443190737853,0.566449165344238,0.045580109849822525
